age,fare,pclass,sex,embarked,class,who
17.0,7.925,3,female,S,Third,woman
45.0,27.9,3,female,S,Third,woman
29.0,211.3375,1,female,S,First,woman
22.0,7.775,3,female,S,Third,woman
60.0,75.25,1,female,C,First,woman
24.0,13.0,2,female,S,Second,woman
,8.7125,3,male,C,Third,man
7.0,26.25,2,female,S,Second,child
23.0,10.5,2,male,S,Second,man
,50.0,1,male,S,First,man
3.0,15.9,3,male,S,Third,child
24.0,65.0,2,female,S,Second,woman
35.0,21.0,2,female,S,Second,woman
32.0,7.925,3,male,S,Third,man
,7.6292,3,female,Q,Third,woman
30.0,106.425,1,female,C,First,woman
,7.75,3,male,Q,Third,man
18.0,7.8542,3,male,S,Third,man
